feature,importance
list_price_usd,0.7046154
unit_cost_usd,0.14287013
sku_prior_mean_price,0.11925175
is_strategic_True,0.008767551
customer_tier_mid_market,0.0056129205
is_strategic_False,0.0042349966
customer_tier_strategic,0.003164301
market_NL,0.0025077106
quantity,0.0009982572
customer_tier_channel,0.0007723717
sku_history_count,0.00069489394
cost_change_pct,0.00067088666
inventory_weeks,0.00065633067
product_family_CPU_AND_PROCESSOR,0.00060752867
log_quantity,0.0005171422
product_family_SERVER_AND_ACCELERATOR,0.00050754554
contract_discount_pct,0.00042213628
product_family_WORKSTATION_AND_PC,0.00041364646
quote_year,0.00035369326
customer_revenue_gbp,0.00020835182
market_demand_index,0.00018196093
quote_quarter,0.00017839916
quote_month,0.00017642627
market_PT,0.00012365956
customer_tier_enterprise,0.00011916346
customer_history_count,0.0001019318
is_contract_customer_True,0.00010078635
customer_orders,9.450524e-05
market_FR,8.338107e-05
customer_prior_win_rate,8.201667e-05
customer_tenure_months,7.703909e-05
market_UK,7.483805e-05
product_family_MEMORY_AND_STORAGE,7.11037e-05
feature_count,6.594604e-05
market_ES,6.16471e-05
market_BE,6.0029524e-05
product_family_GPU_AND_GRAPHICS,5.2084582e-05
days_since_launch,4.8924274e-05
log_rating_count,4.8196824e-05
average_rating,4.580171e-05
product_family_NETWORKING,4.4253597e-05
product_family_THERMAL_AND_POWER,4.1383468e-05
product_family_OTHER_COMPUTE,4.0657127e-05
cluster_id,3.490148e-05
is_contract_customer_False,3.315485e-05
market_DE,3.0017723e-05
market_CH,2.9676143e-05
product_family_MOTHERBOARD,2.7960847e-05
market_IE,2.262433e-05
