country,quantity_band,observations,median_quantity,median_relative_price,market,within_market_share
Belgium,1,84,1.0,1.0,BE,0.027468933943754086
Belgium,100_plus,13,120.0,0.7636363636363636,BE,0.004251144538914323
Belgium,12_23,884,12.0,1.0,BE,0.289077828646174
Belgium,24_49,379,24.0,1.0,BE,0.12393721386527141
Belgium,2_5,697,3.0,1.0,BE,0.22792674950948333
Belgium,50_99,24,72.0,1.0,BE,0.007848266841072597
Belgium,6_11,977,6.0,1.0,BE,0.3194898626553303
EIRE,1,217,1.0,1.0,IE,0.014048035217194277
EIRE,100_plus,519,150.0,0.8571428571428571,IE,0.03359875704020198
EIRE,12_23,4436,12.0,1.0,IE,0.28717550333398073
EIRE,24_49,2407,24.0,1.0,IE,0.15582313717874022
EIRE,2_5,3732,3.0,1.0,IE,0.2416003107399495
EIRE,50_99,426,72.0,0.8644067796610169,IE,0.02757817051854729
EIRE,6_11,3710,6.0,1.0,IE,0.24017608597138604
France,1,570,1.0,1.0,FR,0.04146660846791794
France,100_plus,113,120.0,0.8579881656804734,FR,0.00822057325767496
France,12_23,4043,12.0,1.0,FR,0.29412192637858287
France,24_49,2102,24.0,1.0,FR,0.152917212279936
France,2_5,2725,3.0,1.0,FR,0.1982394878510112
France,50_99,236,72.0,1.0,FR,0.0171686308744362
France,6_11,3957,8.0,1.0,FR,0.28786556089044085
Germany,1,419,1.0,1.0,DE,0.025160631718008766
Germany,100_plus,134,128.0,0.8571428571428571,DE,0.008046598210532637
Germany,12_23,5344,12.0,1.0,DE,0.32090314057527175
Germany,24_49,2626,24.0,1.0,DE,0.15768930523028885
Germany,2_5,3022,3.0,1.0,DE,0.1814688044196241
Germany,50_99,185,64.0,0.8809523809523809,DE,0.011109109469765208
Germany,6_11,4923,6.0,1.0,DE,0.2956224103765087
Netherlands,1,351,1.0,1.0,NL,0.07014388489208633
Netherlands,100_plus,1378,144.0,0.8480000000000001,NL,0.2753796962430056
Netherlands,12_23,687,12.0,1.0,NL,0.13729016786570744
Netherlands,24_49,881,32.0,0.9,NL,0.1760591526778577
Netherlands,2_5,426,2.0,1.0,NL,0.08513189448441247
Netherlands,50_99,911,72.0,0.8571428571428571,NL,0.18205435651478816
Netherlands,6_11,370,8.0,1.0,NL,0.07394084732214229
Portugal,1,135,1.0,1.0,PT,0.055464256368118324
Portugal,100_plus,7,120.0,0.8470588235294118,PT,0.002875924404272802
Portugal,12_23,676,12.0,1.0,PT,0.2777321281840592
Portugal,24_49,326,25.0,1.0,PT,0.13393590797041907
Portugal,2_5,596,3.0,1.0,PT,0.2448644207066557
Portugal,50_99,31,50.0,1.0,PT,0.012736236647493838
Portugal,6_11,663,6.0,1.0,PT,0.2723911257189811
Spain,1,341,1.0,1.0,ES,0.09213726019994596
Spain,100_plus,57,160.0,0.8787878787878788,ES,0.015401242907322345
Spain,12_23,956,12.0,1.0,ES,0.2583085652526344
Spain,24_49,473,24.0,1.0,ES,0.12780329640637667
Spain,2_5,981,3.0,1.0,ES,0.2650634963523372
Spain,50_99,24,72.0,1.0,ES,0.006484733855714671
Spain,6_11,869,6.0,1.0,ES,0.23480140502566874
Switzerland,1,17,1.0,1.0,CH,0.005754908598510494
Switzerland,100_plus,41,100.0,0.860576923076923,CH,0.013879485443466486
Switzerland,12_23,956,12.0,1.0,CH,0.32362897765741366
Switzerland,24_49,679,24.0,1.0,CH,0.22985781990521326
Switzerland,2_5,466,4.0,1.0,CH,0.15775220040622884
Switzerland,50_99,101,72.0,0.8809523809523809,CH,0.03419092755585647
Switzerland,6_11,694,6.0,1.0,CH,0.23493568043331076
United Kingdom,1,149544,1.0,1.0,UK,0.20689368931635874
United Kingdom,100_plus,8547,144.0,0.8470588235294118,UK,0.011824749656200973
United Kingdom,12_23,119139,12.0,1.0,UK,0.16482846019540512
United Kingdom,24_49,70053,24.0,1.0,UK,0.09691812187502594
United Kingdom,2_5,236990,3.0,1.0,UK,0.32787497613467514
United Kingdom,50_99,9531,72.0,0.8644067796610169,UK,0.013186110795981218
United Kingdom,6_11,129002,6.0,1.0,UK,0.17847389202635286
