month,lines,month_share,demand_index
1,41884,0.05330089093576889,0.6396106912292268
2,42140,0.05362667233390557,0.6435200680068669
3,58057,0.07388238527977113,0.8865886233572536
4,48760,0.06205117567634636,0.7446141081161564
5,55694,0.07087527026493917,0.8505032431792701
6,56899,0.07240873348663723,0.8689048018396468
7,52353,0.06662356850253817,0.7994828220304581
8,51534,0.06558132254521808,0.786975870542617
9,72761,0.09259445433524688,1.1111334520229625
10,96405,0.12268342065377709,1.4722010478453251
11,122434,0.15580749882604164,1.8696899859124998
12,86882,0.11056460715980977,1.3267752859177173
