sku_id,title,brand,product_family,list_price_usd,average_rating,rating_count,feature_count,source_line,source
B0012XQBXY,1GB PC3200 (1GBx1) Memory Upgrade for DELL 800 MHz Sockets,Computer Memory Solutions,MEMORY_AND_STORAGE,14.99,4.3,97,4,615177,McAuley-Lab Amazon Reviews 2023/Electronics metadata
B0014GQK4E,HP 379123-001 1000W Power Supply,HP,THERMAL_AND_POWER,106.0,4.4,96,2,514532,McAuley-Lab Amazon Reviews 2023/Electronics metadata
B001PKUUJ0,Gigabyte X58 LGA1366 MAX-16GB DDR3 ATX 3PCIE16 2PCIE 2PCI 8RAID Gbe 12USB,Gigabyte,OTHER_COMPUTE,228.68,3.2,7,5,64350,McAuley-Lab Amazon Reviews 2023/Electronics metadata
B002FPJY8C,Online-Welcome Hebrew- Russian- English Non Transparent Black Background Keyboard Stickers for Any Pc Computer Laptop Desktop Keyboards,Online-Welcome,WORKSTATION_AND_PC,9.62,4.6,11,5,226544,McAuley-Lab Amazon Reviews 2023/Electronics metadata
B002TJNDU4,100-240V AC to 12V DC Power Supply with 4 Pin Molex (5A / 5000mA),OKGEAR,THERMAL_AND_POWER,19.95,4.0,99,3,202266,McAuley-Lab Amazon Reviews 2023/Electronics metadata
B003UJ3LOA,"NEW 250GB 2.5"" SATA HDD Hard Disk Drive for Dell Latitude 13 131L 2100 D520 D530 D531 D630 D630C D631 D820 D830 E4300 E5400 E5500 E6400 E6400 ATG E6400 XFR E6410 E6500 E6510 XT2_XFR Laptops",Diginex,OTHER_COMPUTE,25.99,5.0,11,0,88020,McAuley-Lab Amazon Reviews 2023/Electronics metadata
B003Y3GSYC,"Brand New 15.6"" WXGA Glossy Laptop LED Screen For Dell Inspiron PP41L - Model Only",Generic,OTHER_COMPUTE,65.33,3.4,6,0,382987,McAuley-Lab Amazon Reviews 2023/Electronics metadata
B0041HUQBQ,DLP 3D shutter glasses and transmitter family 4 pack for your compatible 3D HDTV (computer or converter required for some 3D content),I-O DATA,WORKSTATION_AND_PC,149.95,5.0,5,5,303593,McAuley-Lab Amazon Reviews 2023/Electronics metadata
B004JWM3JG,Lamptron Computer Slot Protector/Dust Cover Set (UV Green),Lamptron,WORKSTATION_AND_PC,10.99,4.5,4,5,360257,McAuley-Lab Amazon Reviews 2023/Electronics metadata
B004M5H9NA,WD My Book for Mac 1 TB USB 2.0 Desktop External Hard Drive,Western Digital,MEMORY_AND_STORAGE,179.0,4.3,309,5,198777,McAuley-Lab Amazon Reviews 2023/Electronics metadata
